,FLA1 amount,RAM1 amount,LAN speed,802dot11,Release
Cisco NAV10V2-WF,128 MiB134217728 B1048576 Kib131072 KiB1024 Mib0.125 GiB,256 MiB268435456 B2097152 Kib262144 KiB2048 Mib0.25 GiB,10/100/1000,bgn,
Cisco DPC3940CMAD,128 MiB134217728 B1048576 Kib131072 KiB1024 Mib0.125 GiB,256 MiB268435456 B2097152 Kib262144 KiB2048 Mib0.25 GiB,10/100/1000,abgn+ac,2013
Netgear R7500,128 MiB134217728 B1048576 Kib131072 KiB1024 Mib0.125 GiB,256 MiB268435456 B2097152 Kib262144 KiB2048 Mib0.25 GiB,10/100/1000,abgn+ac,2014
D-Link DIR-827,16 MiB16777216 B131072 Kib16384 KiB128 Mib0.0156 GiB,256 MiB268435456 B2097152 Kib262144 KiB2048 Mib0.25 GiB,10/100/1000,abgn,2011
D-Link DAP-2695 rev A1,16 MiB16777216 B131072 Kib16384 KiB128 Mib0.0156 GiB,256 MiB268435456 B2097152 Kib262144 KiB2048 Mib0.25 GiB,10/100/1000,abgn+ac,2013
Netgear R8000,128 MiB134217728 B1048576 Kib131072 KiB1024 Mib0.125 GiB,256 MiB268435456 B2097152 Kib262144 KiB2048 Mib0.25 GiB,10/100/1000,abgn+ac,2014
LANCOM L-452dual,256 MiB268435456 B2097152 Kib262144 KiB2048 Mib0.25 GiB,256 MiB268435456 B2097152 Kib262144 KiB2048 Mib0.25 GiB,10/100/1000,abgn,2012
ASUS RT-AC87U,128 MiB134217728 B1048576 Kib131072 KiB1024 Mib0.125 GiB,256 MiB268435456 B2097152 Kib262144 KiB2048 Mib0.25 GiB,10/100/1000,abgn+ac,2014
Billion BiPAC 7800VDPX,512 MiB536870912 B4194304 Kib524288 KiB4096 Mib0.5 GiB,256 MiB268435456 B2097152 Kib262144 KiB2048 Mib0.25 GiB,10/100/1000,abgn,2012
Motorola Solutions AP 7532,512 MiB536870912 B4194304 Kib524288 KiB4096 Mib0.5 GiB,256 MiB268435456 B2097152 Kib262144 KiB2048 Mib0.25 GiB,10/100,abgn+ac,2014
D-Link DIR-885L rev A1,128 MiB134217728 B1048576 Kib131072 KiB1024 Mib0.125 GiB,256 MiB268435456 B2097152 Kib262144 KiB2048 Mib0.25 GiB,10/100/1000,abgn+ac,2015
Western Digital My Net N900 Central (1TB),16 MiB16777216 B131072 Kib16384 KiB128 Mib0.0156 GiB,256 MiB268435456 B2097152 Kib262144 KiB2048 Mib0.25 GiB,10/100/1000,abgn,2012
Cisco DPC3848,128 MiB134217728 B1048576 Kib131072 KiB1024 Mib0.125 GiB,256 MiB268435456 B2097152 Kib262144 KiB2048 Mib0.25 GiB,10/100/1000,abgn,2013
ASUS DSL-AC68U,128 MiB134217728 B1048576 Kib131072 KiB1024 Mib0.125 GiB,256 MiB268435456 B2097152 Kib262144 KiB2048 Mib0.25 GiB,10/100/1000,abgn+ac,
Belkin F9K1115 v2,,128 MiB134217728 B1048576 Kib131072 KiB1024 Mib0.125 GiB,10/100/1000,abgn+ac,2013
Buffalo WZR-D1800H,128 MiB134217728 B1048576 Kib131072 KiB1024 Mib0.125 GiB,128 MiB134217728 B1048576 Kib131072 KiB1024 Mib0.125 GiB,10/100/1000,abgn+ac,2012
Netgear D6000,16 MiB16777216 B131072 Kib16384 KiB128 Mib0.0156 GiB,128 MiB134217728 B1048576 Kib131072 KiB1024 Mib0.125 GiB,10/100/1000,abgn+ac,2014
Netgear C3000,16 MiB16777216 B131072 Kib16384 KiB128 Mib0.0156 GiB,128 MiB134217728 B1048576 Kib131072 KiB1024 Mib0.125 GiB,10/100/1000,bgn,2013
Huawei AP6010DN-AGN,32 MiB33554432 B262144 Kib32768 KiB256 Mib0.0313 GiB,128 MiB134217728 B1048576 Kib131072 KiB1024 Mib0.125 GiB,10/100/1000,abgn,2012
Linksys EA4500 v1 (Cisco),128 MiB134217728 B1048576 Kib131072 KiB1024 Mib0.125 GiB,128 MiB134217728 B1048576 Kib131072 KiB1024 Mib0.125 GiB,10/100/1000,abgn,2012
Netgear DGND3700v1,32 MiB33554432 B262144 Kib32768 KiB256 Mib0.0313 GiB,128 MiB134217728 B1048576 Kib131072 KiB1024 Mib0.125 GiB,10/100/1000,abgn,2011
D-Link DSR-150N A2,32 MiB33554432 B262144 Kib32768 KiB256 Mib0.0313 GiB,128 MiB134217728 B1048576 Kib131072 KiB1024 Mib0.125 GiB,10/100,bgn,
