,FLA1 amount,RAM1 amount,LAN speed,802dot11,Release
Rosewill RNX-EasyN400,4 MiB4194304 B32768 Kib4096 KiB32 Mib0.00391 GiB,16 MiB16777216 B131072 Kib16384 KiB128 Mib0.0156 GiB,10/100,bgn,2009
ZIO 3300N,2 MiB2097152 B16384 Kib2048 KiB16 Mib0.00195 GiB,16 MiB16777216 B131072 Kib16384 KiB128 Mib0.0156 GiB,10/100,bgn,2011
PRO-NETS WR514R,2 MiB2097152 B16384 Kib2048 KiB16 Mib0.00195 GiB,16 MiB16777216 B131072 Kib16384 KiB128 Mib0.0156 GiB,10/100,bg,2006
Linksys WRT54GS v6,2 MiB2097152 B16384 Kib2048 KiB16 Mib0.00195 GiB,16 MiB16777216 B131072 Kib16384 KiB128 Mib0.0156 GiB,10/100,bg,2006
Quick Eagle Networks DL700,4 MiB4194304 B32768 Kib4096 KiB32 Mib0.00391 GiB,16 MiB16777216 B131072 Kib16384 KiB128 Mib0.0156 GiB,10/100,bg,2004
B-LINK BL-MP01,4 MiB4194304 B32768 Kib4096 KiB32 Mib0.00391 GiB,16 MiB16777216 B131072 Kib16384 KiB128 Mib0.0156 GiB,10/100,bgn,2012
Linksys WRT54G v1.1,4 MiB4194304 B32768 Kib4096 KiB32 Mib0.00391 GiB,16 MiB16777216 B131072 Kib16384 KiB128 Mib0.0156 GiB,10/100,bg,2003
Netgear DG834Gv1,4 MiB4194304 B32768 Kib4096 KiB32 Mib0.00391 GiB,16 MiB16777216 B131072 Kib16384 KiB128 Mib0.0156 GiB,10/100,bg,
3Com OfficeConnect 3CRWER100-75,,16 MiB16777216 B131072 Kib16384 KiB128 Mib0.0156 GiB,10/100,bg,2006
D-Link DIR-625 rev C2,4 MiB4194304 B32768 Kib4096 KiB32 Mib0.00391 GiB,16 MiB16777216 B131072 Kib16384 KiB128 Mib0.0156 GiB,10/100,bgn,2007
Belkin F5D7230-4 v1,4 MiB4194304 B32768 Kib4096 KiB32 Mib0.00391 GiB,16 MiB16777216 B131072 Kib16384 KiB128 Mib0.0156 GiB,10/100,bg,2003
Proware PW-RN401M,,16 MiB16777216 B131072 Kib16384 KiB128 Mib0.0156 GiB,10/100,bgn,2012
D-Link DIR-825 rev A1,,16 MiB16777216 B131072 Kib16384 KiB128 Mib0.0156 GiB,10/100/1000,abgn,2008
Linksys WRT54GL v1.1,4 MiB4194304 B32768 Kib4096 KiB32 Mib0.00391 GiB,16 MiB16777216 B131072 Kib16384 KiB128 Mib0.0156 GiB,10/100,bg,2005
Scientific Atlanta DPR362,8 MiB8388608 B65536 Kib8192 KiB64 Mib0.00781 GiB,16 MiB16777216 B131072 Kib16384 KiB128 Mib0.0156 GiB,10/100,b,2002
ASUS AAM6020VI-FI,2 MiB2097152 B16384 Kib2048 KiB16 Mib0.00195 GiB,16 MiB16777216 B131072 Kib16384 KiB128 Mib0.0156 GiB,10/100,bg,2005
Buffalo WHR-HP-G54,4 MiB4194304 B32768 Kib4096 KiB32 Mib0.00391 GiB,16 MiB16777216 B131072 Kib16384 KiB128 Mib0.0156 GiB,10/100,bg,2005
CNet CWR-500,2 MiB2097152 B16384 Kib2048 KiB16 Mib0.00195 GiB,16 MiB16777216 B131072 Kib16384 KiB128 Mib0.0156 GiB,10/100,b,2003
Netis DL4305D,,16 MiB16777216 B131072 Kib16384 KiB128 Mib0.0156 GiB,10/100,bgn,2013
Edimax BR-6504n,4 MiB4194304 B32768 Kib4096 KiB32 Mib0.00391 GiB,16 MiB16777216 B131072 Kib16384 KiB128 Mib0.0156 GiB,10/100,bgn,2007
Bountiful WiFi BWRG1000,4 MiB4194304 B32768 Kib4096 KiB32 Mib0.00391 GiB,16 MiB16777216 B131072 Kib16384 KiB128 Mib0.0156 GiB,10/100,bg,2005
Asante SmartHub AWRT-300N,4 MiB4194304 B32768 Kib4096 KiB32 Mib0.00391 GiB,16 MiB16777216 B131072 Kib16384 KiB128 Mib0.0156 GiB,10/100,bgn,2010
ASUS WL-500g,4 MiB4194304 B32768 Kib4096 KiB32 Mib0.00391 GiB,16 MiB16777216 B131072 Kib16384 KiB128 Mib0.0156 GiB,10/100,bg,2003
TRENDnet TEW-651BR V1.0R,4 MiB4194304 B32768 Kib4096 KiB32 Mib0.00391 GiB,16 MiB16777216 B131072 Kib16384 KiB128 Mib0.0156 GiB,10/100,bgn,2010
Linksys WRTH54GS,,16 MiB16777216 B131072 Kib16384 KiB128 Mib0.0156 GiB,10/100,bg,2005
Z-Com XG-1020,,16 MiB16777216 B131072 Kib16384 KiB128 Mib0.0156 GiB,10/100,bg,2007
TP-LINK TL-WR700N,,16 MiB16777216 B131072 Kib16384 KiB128 Mib0.0156 GiB,10/100,bgn,2011
Tenda W300A,4 MiB4194304 B32768 Kib4096 KiB32 Mib0.00391 GiB,16 MiB16777216 B131072 Kib16384 KiB128 Mib0.0156 GiB,10/100/1000,bgn,
Hitron CDW-30235,,16 MiB16777216 B131072 Kib16384 KiB128 Mib0.0156 GiB,10/100,bgn,2012
Linksys WRT54G2 v1.5,2 MiB2097152 B16384 Kib2048 KiB16 Mib0.00195 GiB,16 MiB16777216 B131072 Kib16384 KiB128 Mib0.0156 GiB,10/100,bg,2009
Atheros AR5BAP-00030,8 MiB8388608 B65536 Kib8192 KiB64 Mib0.00781 GiB,16 MiB16777216 B131072 Kib16384 KiB128 Mib0.0156 GiB,10/100,a,2001
D-Link DIR-513 rev A2,,16 MiB16777216 B131072 Kib16384 KiB128 Mib0.0156 GiB,10/100,bgn,2013
GigaFast WF719-CAPR,2 MiB2097152 B16384 Kib2048 KiB16 Mib0.00195 GiB,16 MiB16777216 B131072 Kib16384 KiB128 Mib0.0156 GiB,10/100,bg,2005
D-Link DIR-618 rev B1,,16 MiB16777216 B131072 Kib16384 KiB128 Mib0.0156 GiB,10/100,bgn,2011
Alcatel-Lucent CellPipe 7130 RG 5Ae.A2010,4 MiB4194304 B32768 Kib4096 KiB32 Mib0.00391 GiB,16 MiB16777216 B131072 Kib16384 KiB128 Mib0.0156 GiB,10/100,bg,2008
EnGenius ESR350H,4 MiB4194304 B32768 Kib4096 KiB32 Mib0.00391 GiB,16 MiB16777216 B131072 Kib16384 KiB128 Mib0.0156 GiB,10/100/1000,bgn,2013
Belkin F5D7231-4P v1,4 MiB4194304 B32768 Kib4096 KiB32 Mib0.00391 GiB,16 MiB16777216 B131072 Kib16384 KiB128 Mib0.0156 GiB,10/100,bg,2004
Linksys WCG200-CC v1 (Comcast),8 MiB8388608 B65536 Kib8192 KiB64 Mib0.00781 GiB,16 MiB16777216 B131072 Kib16384 KiB128 Mib0.0156 GiB,10/100,bg,2003
Black Box WAP-300BGN,4 MiB4194304 B32768 Kib4096 KiB32 Mib0.00391 GiB,16 MiB16777216 B131072 Kib16384 KiB128 Mib0.0156 GiB,10/100,bgn,2009
D-Link DWL-2100AP rev A4,4 MiB4194304 B32768 Kib4096 KiB32 Mib0.00391 GiB,16 MiB16777216 B131072 Kib16384 KiB128 Mib0.0156 GiB,10/100,bg,2004
Ubiquiti Networks LiteStation2,4 MiB4194304 B32768 Kib4096 KiB32 Mib0.00391 GiB,16 MiB16777216 B131072 Kib16384 KiB128 Mib0.0156 GiB,10/100,bg,2006
Edimax BR-6258nL,2 MiB2097152 B16384 Kib2048 KiB16 Mib0.00195 GiB,16 MiB16777216 B131072 Kib16384 KiB128 Mib0.0156 GiB,10/100,bgn,2012
Linksys WRT54G v3.1,4 MiB4194304 B32768 Kib4096 KiB32 Mib0.00391 GiB,16 MiB16777216 B131072 Kib16384 KiB128 Mib0.0156 GiB,10/100,bg,2004
T-Com Speedport W500V,4 MiB4194304 B32768 Kib4096 KiB32 Mib0.00391 GiB,16 MiB16777216 B131072 Kib16384 KiB128 Mib0.0156 GiB,10/100,bg,
Tenda N150,,16 MiB16777216 B131072 Kib16384 KiB128 Mib0.0156 GiB,10/100,bgn,2013
Tenda W268R (later),2 MiB2097152 B16384 Kib2048 KiB16 Mib0.00195 GiB,16 MiB16777216 B131072 Kib16384 KiB128 Mib0.0156 GiB,10/100,bgn,2011
SerComm IP806GA/GB v2,4 MiB4194304 B32768 Kib4096 KiB32 Mib0.00391 GiB,16 MiB16777216 B131072 Kib16384 KiB128 Mib0.0156 GiB,10/100,bg,2005
Gigabyte GN-B41G,2 MiB2097152 B16384 Kib2048 KiB16 Mib0.00195 GiB,16 MiB16777216 B131072 Kib16384 KiB128 Mib0.0156 GiB,10/100,bg,2004
Netis WF-2402,4 MiB4194304 B32768 Kib4096 KiB32 Mib0.00391 GiB,16 MiB16777216 B131072 Kib16384 KiB128 Mib0.0156 GiB,10/100,bgn,2010
Buffalo WBR-B11,4 MiB4194304 B32768 Kib4096 KiB32 Mib0.00391 GiB,16 MiB16777216 B131072 Kib16384 KiB128 Mib0.0156 GiB,10/100,b,
DrayTek Vigor 2710ne,4 MiB4194304 B32768 Kib4096 KiB32 Mib0.00391 GiB,16 MiB16777216 B131072 Kib16384 KiB128 Mib0.0156 GiB,10/100,bg,
DQ Technology VisionNet TW207er-4,4 MiB4194304 B32768 Kib4096 KiB32 Mib0.00391 GiB,16 MiB16777216 B131072 Kib16384 KiB128 Mib0.0156 GiB,10/100,bg,2006
Airlink101 AR430W,4 MiB4194304 B32768 Kib4096 KiB32 Mib0.00391 GiB,16 MiB16777216 B131072 Kib16384 KiB128 Mib0.0156 GiB,10/100,bg,2007
TP-LINK TL-WR543G v2.0,2 MiB2097152 B16384 Kib2048 KiB16 Mib0.00195 GiB,16 MiB16777216 B131072 Kib16384 KiB128 Mib0.0156 GiB,10/100,bg,
Sputnik AP 160,4 MiB4194304 B32768 Kib4096 KiB32 Mib0.00391 GiB,16 MiB16777216 B131072 Kib16384 KiB128 Mib0.0156 GiB,10/100,bg,2003
Buffalo WBR2-G54,4 MiB4194304 B32768 Kib4096 KiB32 Mib0.00391 GiB,16 MiB16777216 B131072 Kib16384 KiB128 Mib0.0156 GiB,10/100,bg,2004
Linksys WRT54G3G v1.0,32 MiB33554432 B262144 Kib32768 KiB256 Mib0.0313 GiB,16 MiB16777216 B131072 Kib16384 KiB128 Mib0.0156 GiB,10/100,bg,2006
SMC SMCWEBS-N,,16 MiB16777216 B131072 Kib16384 KiB128 Mib0.0156 GiB,10/100,bgn,2009
Thomson TG585v7,4 MiB4194304 B32768 Kib4096 KiB32 Mib0.00391 GiB,16 MiB16777216 B131072 Kib16384 KiB128 Mib0.0156 GiB,10/100,bg,2008
D-Link DI-614+ rev A1 / A2,1 MiB1048576 B8192 Kib1024 KiB8 Mib9.765625e-4 GiB,8 MiB8388608 B65536 Kib8192 KiB64 Mib0.00781 GiB,10/100,b,2002
Billion BiPAC 5200G R4,2 MiB2097152 B16384 Kib2048 KiB16 Mib0.00195 GiB,8 MiB8388608 B65536 Kib8192 KiB64 Mib0.00781 GiB,10/100,bg,2007
D-Link DWL-700AP rev A2,2 MiB2097152 B16384 Kib2048 KiB16 Mib0.00195 GiB,8 MiB8388608 B65536 Kib8192 KiB64 Mib0.00781 GiB,unspecified,b,2003
Belkin F6D4230-4 v1,2 MiB2097152 B16384 Kib2048 KiB16 Mib0.00195 GiB,8 MiB8388608 B65536 Kib8192 KiB64 Mib0.00781 GiB,10/100,bgn,2009
TP-LINK TL-WR541G v7.x,2 MiB2097152 B16384 Kib2048 KiB16 Mib0.00195 GiB,8 MiB8388608 B65536 Kib8192 KiB64 Mib0.00781 GiB,10/100,bg,2007
D-Link DI-714P+ rev B1,1 MiB1048576 B8192 Kib1024 KiB8 Mib9.765625e-4 GiB,8 MiB8388608 B65536 Kib8192 KiB64 Mib0.00781 GiB,10/100,b,
Motorola WE800G v2,2 MiB2097152 B16384 Kib2048 KiB16 Mib0.00195 GiB,8 MiB8388608 B65536 Kib8192 KiB64 Mib0.00781 GiB,10/100,bg,2004
Belkin F7D6301 v1,2 MiB2097152 B16384 Kib2048 KiB16 Mib0.00195 GiB,8 MiB8388608 B65536 Kib8192 KiB64 Mib0.00781 GiB,10/100,bgn,2010
TP-LINK TD-W8951ND v5,2 MiB2097152 B16384 Kib2048 KiB16 Mib0.00195 GiB,8 MiB8388608 B65536 Kib8192 KiB64 Mib0.00781 GiB,10/100,bgn,2012
Planet WRT-410,1 MiB1048576 B8192 Kib1024 KiB8 Mib9.765625e-4 GiB,8 MiB8388608 B65536 Kib8192 KiB64 Mib0.00781 GiB,10/100,bg,2003
Gemtek P380N,2 MiB2097152 B16384 Kib2048 KiB16 Mib0.00195 GiB,8 MiB8388608 B65536 Kib8192 KiB64 Mib0.00781 GiB,10/100,b,2002
SMC SMC2404WBR,1 MiB1048576 B8192 Kib1024 KiB8 Mib9.765625e-4 GiB,8 MiB8388608 B65536 Kib8192 KiB64 Mib0.00781 GiB,10/100,b,2002
Accton WG3005B1-17,1 MiB1048576 B8192 Kib1024 KiB8 Mib9.765625e-4 GiB,8 MiB8388608 B65536 Kib8192 KiB64 Mib0.00781 GiB,10/100,b,2002
TRENDnet TEW-410APBplus,2 MiB2097152 B16384 Kib2048 KiB16 Mib0.00195 GiB,8 MiB8388608 B65536 Kib8192 KiB64 Mib0.00781 GiB,10/100,bg,2004
Netgear FWG114Pv1,2 MiB2097152 B16384 Kib2048 KiB16 Mib0.00195 GiB,8 MiB8388608 B65536 Kib8192 KiB64 Mib0.00781 GiB,10/100,bg,2003
TP-LINK TD-W8951ND v6,2 MiB2097152 B16384 Kib2048 KiB16 Mib0.00195 GiB,8 MiB8388608 B65536 Kib8192 KiB64 Mib0.00781 GiB,10/100,bgn,2014
ParkerVision WR1500,2 MiB2097152 B16384 Kib2048 KiB16 Mib0.00195 GiB,8 MiB8388608 B65536 Kib8192 KiB64 Mib0.00781 GiB,10/100,b,2004
Lite-On WP310A,2 MiB2097152 B16384 Kib2048 KiB16 Mib0.00195 GiB,8 MiB8388608 B65536 Kib8192 KiB64 Mib0.00781 GiB,10/100,bg,2004
LevelOne WBR-6001,2 MiB2097152 B16384 Kib2048 KiB16 Mib0.00195 GiB,8 MiB8388608 B65536 Kib8192 KiB64 Mib0.00781 GiB,10/100,bgn,
TP-LINK TL-WR340 v4.0,2 MiB2097152 B16384 Kib2048 KiB16 Mib0.00195 GiB,8 MiB8388608 B65536 Kib8192 KiB64 Mib0.00781 GiB,10/100,bg,2007
E-TOP BR330g,2 MiB2097152 B16384 Kib2048 KiB16 Mib0.00195 GiB,8 MiB8388608 B65536 Kib8192 KiB64 Mib0.00781 GiB,10/100,bg,
Encore ENHWI-G,1 MiB1048576 B8192 Kib1024 KiB8 Mib9.765625e-4 GiB,8 MiB8388608 B65536 Kib8192 KiB64 Mib0.00781 GiB,10/100,bg,2005
Linksys WTR54GS v2.1,2 MiB2097152 B16384 Kib2048 KiB16 Mib0.00195 GiB,8 MiB8388608 B65536 Kib8192 KiB64 Mib0.00781 GiB,10/100,bg,2006
USRobotics USR5461,2 MiB2097152 B16384 Kib2048 KiB16 Mib0.00195 GiB,8 MiB8388608 B65536 Kib8192 KiB64 Mib0.00781 GiB,10/100,bg,2004
SMC SMC7004WFW,2 MiB2097152 B16384 Kib2048 KiB16 Mib0.00195 GiB,8 MiB8388608 B65536 Kib8192 KiB64 Mib0.00781 GiB,10/100,b,2002
Belkin F5D7330 v1,2 MiB2097152 B16384 Kib2048 KiB16 Mib0.00195 GiB,8 MiB8388608 B65536 Kib8192 KiB64 Mib0.00781 GiB,10/100,bg,2003
IOGear GWA502,2 MiB2097152 B16384 Kib2048 KiB16 Mib0.00195 GiB,8 MiB8388608 B65536 Kib8192 KiB64 Mib0.00781 GiB,10/100,bg,2004
D-Link DI-524 rev E1,2 MiB2097152 B16384 Kib2048 KiB16 Mib0.00195 GiB,8 MiB8388608 B65536 Kib8192 KiB64 Mib0.00781 GiB,10/100,bg,2005
Budget 1 Wireless B2004,0.5 MiB524288 B4096 Kib512 KiB4 Mib4.882812e-4 GiB,8 MiB8388608 B65536 Kib8192 KiB64 Mib0.00781 GiB,10/100,bg,2008
TRENDnet TEW-311BRP,1 MiB1048576 B8192 Kib1024 KiB8 Mib9.765625e-4 GiB,8 MiB8388608 B65536 Kib8192 KiB64 Mib0.00781 GiB,10/100,b,
TRENDnet TEW-631BRP V2.0R,4 MiB4194304 B32768 Kib4096 KiB32 Mib0.00391 GiB,8 MiB8388608 B65536 Kib8192 KiB64 Mib0.00781 GiB,10/100,bgn,2006
Mercury MW305R v3.x,1 MiB1048576 B8192 Kib1024 KiB8 Mib9.765625e-4 GiB,8 MiB8388608 B65536 Kib8192 KiB64 Mib0.00781 GiB,10/100,bgn,
SparkLAN WX-1590M,1 MiB1048576 B8192 Kib1024 KiB8 Mib9.765625e-4 GiB,8 MiB8388608 B65536 Kib8192 KiB64 Mib0.00781 GiB,10/100,bg,2005
ViewSonic WAPBR-100 (VS10407),2 MiB2097152 B16384 Kib2048 KiB16 Mib0.00195 GiB,8 MiB8388608 B65536 Kib8192 KiB64 Mib0.00781 GiB,10/100,bg,2004
Uniden WNR2004,1 MiB1048576 B8192 Kib1024 KiB8 Mib9.765625e-4 GiB,8 MiB8388608 B65536 Kib8192 KiB64 Mib0.00781 GiB,10/100,b,2003
TP-LINK TD-W8901N v1,2 MiB2097152 B16384 Kib2048 KiB16 Mib0.00195 GiB,8 MiB8388608 B65536 Kib8192 KiB64 Mib0.00781 GiB,10/100,bgn,2013
Edimax EW-7206APg v1,2 MiB2097152 B16384 Kib2048 KiB16 Mib0.00195 GiB,8 MiB8388608 B65536 Kib8192 KiB64 Mib0.00781 GiB,10/100,bg,2005
Linksys WRK54G v1.1,,8 MiB8388608 B65536 Kib8192 KiB64 Mib0.00781 GiB,10/100,bg,2004
Netgear WG602v2,2 MiB2097152 B16384 Kib2048 KiB16 Mib0.00195 GiB,8 MiB8388608 B65536 Kib8192 KiB64 Mib0.00781 GiB,10/100,bg,2003
D-Link WBR-2310 rev A1,2 MiB2097152 B16384 Kib2048 KiB16 Mib0.00195 GiB,8 MiB8388608 B65536 Kib8192 KiB64 Mib0.00781 GiB,10/100,bg,2005
Toko TMW1003,2 MiB2097152 B16384 Kib2048 KiB16 Mib0.00195 GiB,8 MiB8388608 B65536 Kib8192 KiB64 Mib0.00781 GiB,10/100,b,
SparkLAN WX-5801,2 MiB2097152 B16384 Kib2048 KiB16 Mib0.00195 GiB,8 MiB8388608 B65536 Kib8192 KiB64 Mib0.00781 GiB,10/100,b,2003
Belkin F5D7231-4 v1 (v12xx),2 MiB2097152 B16384 Kib2048 KiB16 Mib0.00195 GiB,8 MiB8388608 B65536 Kib8192 KiB64 Mib0.00781 GiB,10/100,bg,2005
D-Link DWL-2000AP+ rev A1,1 MiB1048576 B8192 Kib1024 KiB8 Mib9.765625e-4 GiB,8 MiB8388608 B65536 Kib8192 KiB64 Mib0.00781 GiB,10/100,bg,2003
Linksys WRT54G v8.0,2 MiB2097152 B16384 Kib2048 KiB16 Mib0.00195 GiB,8 MiB8388608 B65536 Kib8192 KiB64 Mib0.00781 GiB,10/100,bg,2007
MSI RG54GS (MS-6822),1 MiB1048576 B8192 Kib1024 KiB8 Mib9.765625e-4 GiB,8 MiB8388608 B65536 Kib8192 KiB64 Mib0.00781 GiB,10/100,bg,2003
Netgear WGR614v2,2 MiB2097152 B16384 Kib2048 KiB16 Mib0.00195 GiB,8 MiB8388608 B65536 Kib8192 KiB64 Mib0.00781 GiB,10/100,bg,2003
AOpen AOI-891,1 MiB1048576 B8192 Kib1024 KiB8 Mib9.765625e-4 GiB,8 MiB8388608 B65536 Kib8192 KiB64 Mib0.00781 GiB,10/100,bg,2003
Linksys WAP54G v3.0,2 MiB2097152 B16384 Kib2048 KiB16 Mib0.00195 GiB,8 MiB8388608 B65536 Kib8192 KiB64 Mib0.00781 GiB,10/100,bg,2005
MSI RG54SE II,2 MiB2097152 B16384 Kib2048 KiB16 Mib0.00195 GiB,8 MiB8388608 B65536 Kib8192 KiB64 Mib0.00781 GiB,10/100,bg,
TP-LINK TD-W8961NB v3.0,2 MiB2097152 B16384 Kib2048 KiB16 Mib0.00195 GiB,8 MiB8388608 B65536 Kib8192 KiB64 Mib0.00781 GiB,10/100,bgn,2013
TP-LINK TD854W,,8 MiB8388608 B65536 Kib8192 KiB64 Mib0.00781 GiB,10/100,bgn,2011
TP-LINK TL-WR541G v6.x,2 MiB2097152 B16384 Kib2048 KiB16 Mib0.00195 GiB,8 MiB8388608 B65536 Kib8192 KiB64 Mib0.00781 GiB,10/100,bg,2007
ZyXEL ZyAIR G-1000,2 MiB2097152 B16384 Kib2048 KiB16 Mib0.00195 GiB,8 MiB8388608 B65536 Kib8192 KiB64 Mib0.00781 GiB,10/100,bg,2003
D-Link DIR-615 rev S1,2 MiB2097152 B16384 Kib2048 KiB16 Mib0.00195 GiB,8 MiB8388608 B65536 Kib8192 KiB64 Mib0.00781 GiB,10/100,bgn,2013
Netgear WGR614v6,1 MiB1048576 B8192 Kib1024 KiB8 Mib9.765625e-4 GiB,8 MiB8388608 B65536 Kib8192 KiB64 Mib0.00781 GiB,10/100,bg,2005
Gigabyte GN-BC01,1 MiB1048576 B8192 Kib1024 KiB8 Mib9.765625e-4 GiB,8 MiB8388608 B65536 Kib8192 KiB64 Mib0.00781 GiB,10/100,bg,2005
Senao NL-5354 AP1 Aries2,2 MiB2097152 B16384 Kib2048 KiB16 Mib0.00195 GiB,8 MiB8388608 B65536 Kib8192 KiB64 Mib0.00781 GiB,10/100,abg,2003
Belkin F5D7230-4 v7,2 MiB2097152 B16384 Kib2048 KiB16 Mib0.00195 GiB,8 MiB8388608 B65536 Kib8192 KiB64 Mib0.00781 GiB,10/100,bg,2006
Linksys WFR11B-JP,1 MiB1048576 B8192 Kib1024 KiB8 Mib9.765625e-4 GiB,8 MiB8388608 B65536 Kib8192 KiB64 Mib0.00781 GiB,10/100,b,2003
D-Link DWL-1000AP+,1 MiB1048576 B8192 Kib1024 KiB8 Mib9.765625e-4 GiB,8 MiB8388608 B65536 Kib8192 KiB64 Mib0.00781 GiB,10/100,b,2002
AMIT WQS418,2 MiB2097152 B16384 Kib2048 KiB16 Mib0.00195 GiB,8 MiB8388608 B65536 Kib8192 KiB64 Mib0.00781 GiB,10/100,bg,
Network Everywhere (Linksys) NWR04B,2 MiB2097152 B16384 Kib2048 KiB16 Mib0.00195 GiB,8 MiB8388608 B65536 Kib8192 KiB64 Mib0.00781 GiB,10/100,b,2003
Billion BiPAC 643,1 MiB1048576 B8192 Kib1024 KiB8 Mib9.765625e-4 GiB,8 MiB8388608 B65536 Kib8192 KiB64 Mib0.00781 GiB,10/100,b,2002
D-Link DI-824VUP rev A,2 MiB2097152 B16384 Kib2048 KiB16 Mib0.00195 GiB,8 MiB8388608 B65536 Kib8192 KiB64 Mib0.00781 GiB,10/100,bg,2004
Belkin F5D6231-4 v1,1 MiB1048576 B8192 Kib1024 KiB8 Mib9.765625e-4 GiB,8 MiB8388608 B65536 Kib8192 KiB64 Mib0.00781 GiB,10/100,b,2002
INexQ (Unex) ISW054t,1 MiB1048576 B8192 Kib1024 KiB8 Mib9.765625e-4 GiB,8 MiB8388608 B65536 Kib8192 KiB64 Mib0.00781 GiB,10/100,bg,2003
D-Link DWL-G700AP rev B1,2 MiB2097152 B16384 Kib2048 KiB16 Mib0.00195 GiB,8 MiB8388608 B65536 Kib8192 KiB64 Mib0.00781 GiB,10/100,bg,2005
Intersil ISL39300A,,8 MiB8388608 B65536 Kib8192 KiB64 Mib0.00781 GiB,10/100,abg,2003
Belkin F5D7230-4 v2,2 MiB2097152 B16384 Kib2048 KiB16 Mib0.00195 GiB,8 MiB8388608 B65536 Kib8192 KiB64 Mib0.00781 GiB,10/100,bg,2004
TP-LINK TL-WA500G,2 MiB2097152 B16384 Kib2048 KiB16 Mib0.00195 GiB,8 MiB8388608 B65536 Kib8192 KiB64 Mib0.00781 GiB,10/100,bg,
TP-LINK TD-W8951ND v4,,8 MiB8388608 B65536 Kib8192 KiB64 Mib0.00781 GiB,10/100,bgn,2012
Linksys WRT54G2 v1.3,2 MiB2097152 B16384 Kib2048 KiB16 Mib0.00195 GiB,8 MiB8388608 B65536 Kib8192 KiB64 Mib0.00781 GiB,10/100,bg,2008
Linksys BEFW11S4 v2 (WL-375),2 MiB2097152 B16384 Kib2048 KiB16 Mib0.00195 GiB,8 MiB8388608 B65536 Kib8192 KiB64 Mib0.00781 GiB,10/100,b,2001
TRENDnet TEW-611BRP,4 MiB4194304 B32768 Kib4096 KiB32 Mib0.00391 GiB,8 MiB8388608 B65536 Kib8192 KiB64 Mib0.00781 GiB,10/100,bg,2005
SMC SMC7004VWBR v2,2 MiB2097152 B16384 Kib2048 KiB16 Mib0.00195 GiB,8 MiB8388608 B65536 Kib8192 KiB64 Mib0.00781 GiB,10/100,b,2003
Linksys WAP55AG v2,2 MiB2097152 B16384 Kib2048 KiB16 Mib0.00195 GiB,8 MiB8388608 B65536 Kib8192 KiB64 Mib0.00781 GiB,10/100,abg,2004
ZyXEL G-570S v2,4 MiB4194304 B32768 Kib4096 KiB32 Mib0.00391 GiB,8 MiB8388608 B65536 Kib8192 KiB64 Mib0.00781 GiB,10/100,bg,2007
SMC SMCWBR14-G2,2 MiB2097152 B16384 Kib2048 KiB16 Mib0.00195 GiB,8 MiB8388608 B65536 Kib8192 KiB64 Mib0.00781 GiB,10/100,bg,2005
Belkin F5D7231-4 v2,2 MiB2097152 B16384 Kib2048 KiB16 Mib0.00195 GiB,8 MiB8388608 B65536 Kib8192 KiB64 Mib0.00781 GiB,10/100,bg,2006
LevelOne WBR-6006,,8 MiB8388608 B65536 Kib8192 KiB64 Mib0.00781 GiB,10/100,bgn,2011
TP-LINK TL-WR340 v2.3,2 MiB2097152 B16384 Kib2048 KiB16 Mib0.00195 GiB,8 MiB8388608 B65536 Kib8192 KiB64 Mib0.00781 GiB,10/100,bg,2007
USRobotics USR8054,1 MiB1048576 B8192 Kib1024 KiB8 Mib9.765625e-4 GiB,8 MiB8388608 B65536 Kib8192 KiB64 Mib0.00781 GiB,10/100,bg,2003
Cameo WLG-2214,2 MiB2097152 B16384 Kib2048 KiB16 Mib0.00195 GiB,8 MiB8388608 B65536 Kib8192 KiB64 Mib0.00781 GiB,10/100,bg,2007
Linksys WRT54GC v2,1 MiB1048576 B8192 Kib1024 KiB8 Mib9.765625e-4 GiB,8 MiB8388608 B65536 Kib8192 KiB64 Mib0.00781 GiB,10/100,bg,2006
USRobotics USR5462,2 MiB2097152 B16384 Kib2048 KiB16 Mib0.00195 GiB,8 MiB8388608 B65536 Kib8192 KiB64 Mib0.00781 GiB,10/100,bg,2004
TROY Wireless EtherPortal,1 MiB1048576 B8192 Kib1024 KiB8 Mib9.765625e-4 GiB,8 MiB8388608 B65536 Kib8192 KiB64 Mib0.00781 GiB,10/100,b,2002
Belkin F5D7230-4 v9,2 MiB2097152 B16384 Kib2048 KiB16 Mib0.00195 GiB,8 MiB8388608 B65536 Kib8192 KiB64 Mib0.00781 GiB,10/100,bg,2008
Thomson SpeedTouch 180,2 MiB2097152 B16384 Kib2048 KiB16 Mib0.00195 GiB,8 MiB8388608 B65536 Kib8192 KiB64 Mib0.00781 GiB,10/100,bg,2004
D-Link DI-524 rev A1,2 MiB2097152 B16384 Kib2048 KiB16 Mib0.00195 GiB,8 MiB8388608 B65536 Kib8192 KiB64 Mib0.00781 GiB,10/100,bg,2003
LevelOne WAP-0009,2 MiB2097152 B16384 Kib2048 KiB16 Mib0.00195 GiB,8 MiB8388608 B65536 Kib8192 KiB64 Mib0.00781 GiB,10/100,bg,2005
Linksys WAP11 v2.2,1 MiB1048576 B8192 Kib1024 KiB8 Mib9.765625e-4 GiB,8 MiB8388608 B65536 Kib8192 KiB64 Mib0.00781 GiB,unspecified,b,2002
